SolutionName,Answer
Solution001,233168
Solution002,4613732
Solution003,6857
Solution004,906609
Solution005,232792560
Solution006,25164150
Solution007,104743
Solution008,23514624000
Solution009,31875000
Solution010,142913828922
Solution011,70600674
Solution012,76576500
Solution013,5537376230
Solution014,837799
Solution015,137846528820
Solution016,1366
Solution017,21124
Solution018,1074
Solution019,171
Solution020,648
Solution021,31626
Solution022,871198282
Solution023,4179871
Solution024,2783915460
Solution025,4782
Solution026,983
Solution027,-59231
Solution028,669171001
Solution029,9183
Solution030,443839
Solution031,73682
Solution032,45228
Solution067,7273
